sf_username,gh_username,sf_name,gh_name,gh_by_name,flag
mlaflamm,mlaflamm,Manuel Laflamme,Manuel Laflamme,mlaflamm,
mnt40,NOTFOUND,Ryota Sato,,AMBIGUOUS,AMBIGUOUS
moschen,moschen,m. s.,,NONE,
MPriess,MPriess,,Michael Prieß,,
mprins,mprins,Mark,Mark Prins,AMBIGUOUS,AMBIGUOUS
mrhcon01,NOTFOUND,Michael Hill,,AMBIGUOUS,AMBIGUOUS
msymons81,msymons,Mark Symons,,msymons,MISMATCH
mureinik,mureinik,Allon Mureinik,Allon Mureinik,mureinik,
olegc,olegch,Oleg Chunikhin,,olegch,MISMATCH
olibye,olibye,Oliver Bye,Oli Bye,NONE,
opporancisis,opporancisis,,Aleksei Egorov,,
ozonobon,NOTFOUND,ozonobon,,NONE,
palsnagaraj,NOTFOUND,2brx2b,,NONE,
pasha_z,NOTFOUND,pasha z,,AMBIGUOUS,AMBIGUOUS
paul0al,paul0al,paul,,AMBIGUOUS,AMBIGUOUS
phisf,NOTFOUND,Phi,,AMBIGUOUS,AMBIGUOUS
porkchop009,NOTFOUND,David Zhang,,AMBIGUOUS,AMBIGUOUS
powerlord,powerlord,Ross Bemrose,R Bemrose,NONE,
quantas,Quantas,Andrew Landsverk,Andrew Landsverk,Quantas,
rafaelvs,RafaelANTVS,RafaelVS,,RafaelANTVS,MISMATCH
rahulr,rahulr,Rahul,,AMBIGUOUS,AMBIGUOUS
rburgst,rburgstaller,Rainer Burgstaller,,rburgstaller,MISMATCH
rcd,rdicroce,Rich DiCroce,Colby Dillion,rdicroce,MISMATCH
reidmp,NOTFOUND,Reid M. Pinchback,,NONE,
Reuben Firmin,NOTFOUND,,,NONE,
rinkrank,NOTFOUND,Aslak Hellesřy,,NONE,
rlogiacco,rlogiacco,Roberto Lo Giacco,Roberto Lo Giacco,rlogiacco,
rogerrabbitpro,rogerrabbitpro,Eugene Polyakov,Eugene Polyakov,AMBIGUOUS,AMBIGUOUS
rpuchkovskiy,rpuch,Roman Puchkovskiy,,rpuch,MISMATCH
S&#xe9;bastien Le Callonnec,NOTFOUND,,,NONE,
schedinl,schedin,Lennart Schedin,,schedin,MISMATCH
sellerjd,sellerjd,sellerjd,Jay D Sellers,NONE,
sfranson,fransonsr,Scott Franson,,fransonsr,MISMATCH
sidikcz,NOTFOUND,Michal Šída,,NONE,
skuzey,skuzey,sami kuzey,M. Sami Kuzey,skuzey,
slecallonnec,tychobrailleur,Sébastien Le Callonnec,Sébastien Le Callonnec,tychobrailleur,MISMATCH
srinirang,SriniRang,Srinivasan Ranganthan,,NONE,
statalex,statalex,Stathis Alexopoulos,,NONE,
stevensa,stevensa,Andy Stevens,,AMBIGUOUS,AMBIGUOUS
stritti,stritti,Stephan Strittmatter,Stephan Strittmatter,stritti,
timurstrekalov,timurstrekalov,Timur Strekalov,Timur Strekalov,timurstrekalov,
tjstavenger,tjstavenger-pnnl,Tim Stavenger,,tjstavenger-pnnl,MISMATCH
tm14258,NOTFOUND,Tim,,AMBIGUOUS,AMBIGUOUS
unwissender2009,NOTFOUND,Phil,,AMBIGUOUS,AMBIGUOUS
user2037,user2037,user2037,,NONE,
vanhill21,vanhill21,vanhill21,,NONE,
Vera Wahler,NOTFOUND,,,NONE,
verreckenk,NOTFOUND,Koen Verrecken,,NONE,
viczi,vicziani,Viczian Istvan,,vicziani,MISMATCH
vlamp,vlamp,Volker Lamp,Simone G,vjlamp,MISMATCH
warwing,warwing,warwing,,NONE,
wbiller,wbiller,Waldemar Biller,Waldemar Biller,wbiller,
weifengli,weifengli,Weifeng Li,,AMBIGUOUS,AMBIGUOUS
Will Sargent,NOTFOUND,,,AMBIGUOUS,AMBIGUOUS
woollybarr,philbarr,Phil Barr,,philbarr,MISMATCH
wujeksrujek,NOTFOUND,wujek,,AMBIGUOUS,AMBIGUOUS
xianpants,NOTFOUND,Christian Nelson,,AMBIGUOUS,AMBIGUOUS
xobotun,xobotun,Paul Maminov,Paul Maminov,xobotun,
Yishai,Yishai,,,,
ymenager,yanm-sdfc,Yannick Menager,,yanm-sdfc,MISMATCH
zdenek-z,zdenek-zikan,Zdenek Zikan,,zdenek-zikan,MISMATCH
zemertz,NOTFOUND,Martin Gollogly,,AMBIGUOUS,AMBIGUOUS
